,Country,CRI_2006,Income_Group,angle,End_angle,Start_angle,Mid
24,Japan,18.25,H,1.6071428571,1.6071428571,0,0.8035714286
52,United States of America,18.25,H,1.6071428571,3.2142857143,1.6071428571,2.4107142857
48,The Bahamas,20,H,1.6071428571,4.8214285714,3.2142857143,4.0178571429
179,Chinese Taipei,22,H,1.6071428571,6.4285714286,4.8214285714,5.625
32,New Zealand,31.75,H,1.6071428571,8.0357142857,6.4285714286,7.2321428571
2,Australia,34.5,H,1.6071428571,9.6428571429,8.0357142857,8.8392857143
37,Portugal,40.25,H,1.6071428571,11.25,9.6428571429,10.4464285714
42,Slovak Republic,40.25,H,1.6071428571,12.8571428571,11.25,12.0535714286
47,Switzerland,40.5,H,1.6071428571,14.4642857143,12.8571428571,13.6607142857
17,Germany,41.75,H,1.6071428571,16.0714285714,14.4642857143,15.2678571429
35,Panama,43.75,H,1.6071428571,17.6785714286,16.0714285714,16.875
182,Puerto Rico,44,H,1.6071428571,19.2857142857,17.6785714286,18.4821428571
25,South Korea,46,H,1.6071428571,20.8928571429,19.2857142857,20.0892857143
36,Poland,49.5,H,1.6071428571,22.5,20.8928571429,21.6964285714
8,Canada,50.75,H,1.6071428571,24.1071428571,22.5,23.3035714286
43,Slovenia,51,H,1.6071428571,25.7142857143,24.1071428571,24.9107142857
3,Austria,54.75,H,1.6071428571,27.3214285714,25.7142857143,26.5178571429
51,United Kingdom,56.75,H,1.6071428571,28.9285714286,27.3214285714,28.125
23,Italy,57.5,H,1.6071428571,30.5357142857,28.9285714286,29.7321428571
16,France,57.5,H,1.6071428571,32.1428571429,30.5357142857,31.3392857143
15,Finland,58,H,1.6071428571,33.75,32.1428571429,32.9464285714
44,Spain,59,H,1.6071428571,35.3571428571,33.75,34.5535714286
9,Chile,59.5,H,1.6071428571,36.9642857143,35.3571428571,36.1607142857
18,Greece,60.5,H,1.6071428571,38.5714285714,36.9642857143,37.7678571429
27,Latvia,61.75,H,1.6071428571,40.1785714286,38.5714285714,39.375
49,Trinidad and Tobago,68.25,H,1.6071428571,41.7857142857,40.1785714286,40.9821428571
31,Netherlands,69,H,1.6071428571,43.3928571429,41.7857142857,42.5892857143
1,Argentina,71,H,1.6071428571,45,43.3928571429,44.1964285714
10,Croatia,77,H,1.6071428571,46.6071428571,45,45.8035714286
21,Ireland,77,H,1.6071428571,48.2142857143,46.6071428571,47.4107142857
19,Hungary,78.25,H,1.6071428571,49.8214285714,48.2142857143,49.0178571429
5,Barbados,79,H,1.6071428571,51.4285714286,49.8214285714,50.625
33,Norway,83,H,1.6071428571,53.0357142857,51.4285714286,52.2321428571
22,Israel,83,H,1.6071428571,54.6428571429,53.0357142857,53.8392857143
12,Czech Republic,84.5,H,1.6071428571,56.25,54.6428571429,55.4464285714
39,Saudi Arabia,84.75,H,1.6071428571,57.8571428571,56.25,57.0535714286
50,United Arab Emirates,86.5,H,1.6071428571,59.4642857143,57.8571428571,58.6607142857
11,Cyprus,89.25,H,1.6071428571,61.0714285714,59.4642857143,60.2678571429
46,Sweden,90.25,H,1.6071428571,62.6785714286,61.0714285714,61.875
6,Belgium,90.75,H,1.6071428571,64.2857142857,62.6785714286,63.4821428571
41,Singapore,91,H,1.6071428571,65.8928571429,64.2857142857,65.0892857143
30,Malta,101.75,H,1.6071428571,67.5,65.8928571429,66.6964285714
13,Denmark,101.75,H,1.6071428571,69.1071428571,67.5,68.3035714286
