,Country,CRI_2021,Income_Group,angle,End_angle,Start_angle,Mid,C_End_angle,C_Start_angle,Median
48,The Bahamas,6.5,H,1.6071428571,1.6071428571,0,0.8035714286,1.6071428571,0,
24,Japan,14.5,H,1.6071428571,3.2142857143,1.6071428571,2.4107142857,3.2142857143,1.6071428571,
52,United States of America,19.83,H,1.6071428571,4.8214285714,3.2142857143,4.0178571429,4.8214285714,3.2142857143,
2,Australia,28,H,1.6071428571,6.4285714286,4.8214285714,5.625,6.4285714286,4.8214285714,
9,Chile,33,H,1.6071428571,8.0357142857,6.4285714286,7.2321428571,8.0357142857,6.4285714286,
44,Spain,42.83,H,1.6071428571,9.6428571429,8.0357142857,8.8392857143,,,
23,Italy,43.5,H,1.6071428571,11.25,9.6428571429,10.4464285714,,,
18,Greece,45,H,1.6071428571,12.8571428571,11.25,12.0535714286,,,
37,Portugal,48.33,H,1.6071428571,14.4642857143,12.8571428571,13.6607142857,,,
16,France,52.5,H,1.6071428571,16.0714285714,14.4642857143,15.2678571429,,,
3,Austria,56.83,H,1.6071428571,17.6785714286,16.0714285714,16.875,,,
1,Argentina,60,H,1.6071428571,19.2857142857,17.6785714286,18.4821428571,,,
17,Germany,61.33,H,1.6071428571,20.8928571429,19.2857142857,20.0892857143,,,
25,South Korea,64,H,1.6071428571,22.5,20.8928571429,21.6964285714,,,
8,Canada,65.67,H,1.6071428571,24.1071428571,22.5,23.3035714286,,,
6,Belgium,66,H,1.6071428571,25.7142857143,24.1071428571,24.9107142857,,,
32,New Zealand,66.33,H,1.6071428571,27.3214285714,25.7142857143,26.5178571429,,,
30,Malta,67.33,H,1.6071428571,28.9285714286,27.3214285714,28.125,,,
29,Luxembourg,72.83,H,1.6071428571,30.5357142857,28.9285714286,29.7321428571,,,
39,Saudi Arabia,73,H,1.6071428571,32.1428571429,30.5357142857,31.3392857143,,,
10,Croatia,75.17,H,1.6071428571,33.75,32.1428571429,32.9464285714,,,
13,Denmark,75.5,H,1.6071428571,35.3571428571,33.75,34.5535714286,,,
14,Estonia,75.67,H,1.6071428571,36.9642857143,35.3571428571,36.1607142857,,,
42,Slovak Republic,77.17,H,1.6071428571,38.5714285714,36.9642857143,37.7678571429,,,
53,Uruguay,79.67,H,1.6071428571,40.1785714286,38.5714285714,39.375,,,
36,Poland,80,H,1.6071428571,41.7857142857,40.1785714286,40.9821428571,,,
34,Oman,84.67,H,1.6071428571,43.3928571429,41.7857142857,42.5892857143,,,
47,Switzerland,85.5,H,1.6071428571,45,43.3928571429,44.1964285714,,,85.5
19,Hungary,85.83,H,1.6071428571,46.6071428571,45,45.8035714286,,,
27,Latvia,86.83,H,1.6071428571,48.2142857143,46.6071428571,47.4107142857,,,
20,Iceland,88.83,H,1.6071428571,49.8214285714,48.2142857143,49.0178571429,,,
51,United Kingdom,90.83,H,1.6071428571,51.4285714286,49.8214285714,50.625,,,
43,Slovenia,91.83,H,1.6071428571,53.0357142857,51.4285714286,52.2321428571,,,
33,Norway,92.33,H,1.6071428571,54.6428571429,53.0357142857,53.8392857143,,,
12,Czech Republic,92.83,H,1.6071428571,56.25,54.6428571429,55.4464285714,,,
31,Netherlands,97.17,H,1.6071428571,57.8571428571,56.25,57.0535714286,,,
15,Finland,97.83,H,1.6071428571,59.4642857143,57.8571428571,58.6607142857,,,
179,Chinese Taipei,99.67,H,1.6071428571,61.0714285714,59.4642857143,60.2678571429,,,
46,Sweden,100.5,H,1.6071428571,62.6785714286,61.0714285714,61.875,,,
21,Ireland,104.5,H,1.6071428571,64.2857142857,62.6785714286,63.4821428571,,,
35,Panama,108.33,H,1.6071428571,65.8928571429,64.2857142857,65.0892857143,,,
22,Israel,108.83,H,1.6071428571,67.5,65.8928571429,66.6964285714,,,
0,Antigua and Barbuda,118,H,1.6071428571,69.1071428571,67.5,68.3035714286,,,
38,Qatar,118,H,1.6071428571,70.7142857143,69.1071428571,69.9107142857,,,
40,Seychelles,118,H,1.6071428571,72.3214285714,70.7142857143,71.5178571429,,,
41,Singapore,118,H,1.6071428571,73.9285714286,72.3214285714,73.125,,,
