,Position,Longitude1 ,Latitude1 ,temp_anom,time,Longitude,Latitude,points,year
433,POINT (-131 55),-131,55,0.5372941494,1881-12-01,-131.001,55.001,-0.001,1881
447,POINT (-133 55),-133,55,0.5372941494,1881-12-01,-133.001,55.001,-0.001,1881
459,POINT (-95 49),-95,49,0.347073108,1881-08-01,-95.001,49.001,-0.001,1881
473,POINT (-113 49),-113,49,0.347073108,1881-08-01,-113.001,49.001,-0.001,1881
487,POINT (-69 47),-69,47,0.1557066143,1881-08-01,-69.001,47.001,-0.001,1881
488,POINT (-69 47),-69,47,0.4986050725,1881-11-01,-69.001,47.001,-0.001,1881
495,POINT (-87 47),-87,47,0.1557066143,1881-08-01,-87.001,47.001,-0.001,1881
496,POINT (-87 47),-87,47,0.4986050725,1881-11-01,-87.001,47.001,-0.001,1881
503,POINT (-89 47),-89,47,0.1557066143,1881-08-01,-89.001,47.001,-0.001,1881
504,POINT (-89 47),-89,47,0.4986050725,1881-11-01,-89.001,47.001,-0.001,1881
511,POINT (-91 47),-91,47,0.1557066143,1881-08-01,-91.001,47.001,-0.001,1881
512,POINT (-91 47),-91,47,0.4986050725,1881-11-01,-91.001,47.001,-0.001,1881
519,POINT (-93 47),-93,47,0.1557066143,1881-08-01,-93.001,47.001,-0.001,1881
520,POINT (-93 47),-93,47,0.4986050725,1881-11-01,-93.001,47.001,-0.001,1881
527,POINT (-95 47),-95,47,0.1557066143,1881-08-01,-95.001,47.001,-0.001,1881
528,POINT (-95 47),-95,47,0.4986050725,1881-11-01,-95.001,47.001,-0.001,1881
535,POINT (-97 47),-97,47,0.1557066143,1881-08-01,-97.001,47.001,-0.001,1881
536,POINT (-97 47),-97,47,0.4986050725,1881-11-01,-97.001,47.001,-0.001,1881
543,POINT (-99 47),-99,47,0.1557066143,1881-08-01,-99.001,47.001,-0.001,1881
544,POINT (-99 47),-99,47,0.4986050725,1881-11-01,-99.001,47.001,-0.001,1881
551,POINT (-101 47),-101,47,0.1557066143,1881-08-01,-101.001,47.001,-0.001,1881
552,POINT (-101 47),-101,47,0.4986050725,1881-11-01,-101.001,47.001,-0.001,1881
559,POINT (-103 47),-103,47,0.1557066143,1881-08-01,-103.001,47.001,-0.001,1881
560,POINT (-103 47),-103,47,0.4986050725,1881-11-01,-103.001,47.001,-0.001,1881
567,POINT (-105 47),-105,47,0.1557066143,1881-08-01,-105.001,47.001,-0.001,1881
568,POINT (-105 47),-105,47,0.4986050725,1881-11-01,-105.001,47.001,-0.001,1881
575,POINT (-107 47),-107,47,0.1557066143,1881-08-01,-107.001,47.001,-0.001,1881
576,POINT (-107 47),-107,47,0.4986050725,1881-11-01,-107.001,47.001,-0.001,1881
